ptxps :: ID_pat * Blob_blob;ptxps :: ID_pat * Blob_purp
cptdf :: ID_cpt * Blob_blob;cptdf :: ID_cpt * Blob_mean
cptpurpose :: ID_cpt * Blob_blob;cptpurpose :: ID_cpt * Blob_purp
decmean :: ID_decl * Blob_blob;decmean :: ID_decl * Blob_mean
decpurpose :: ID_decl * Blob_blob;decpurpose :: ID_decl * Blob_purp
rrmean :: ID_rul * Blob_blob;rrmean :: ID_rul * Blob_mean
rrpurpose :: ID_rul * Blob_blob;rrpurpose :: ID_rul * Blob_purp
ctxnm :: ID_ctx -> Str_con;ctxnm :: ID_ctx -> Str_ctxnm
ptnm :: ID_pat -> Str_con;ptnm :: ID_pat -> Str_ptnm
cptnm :: ID_cpt -> Str_con;cptnm :: ID_cpt -> Str_cptnm
ordername :: ID_order -> Str_str;ordername :: ID_order -> Str_clnm
