Int_int;Number
Str_rulnm;RuleName
Str_ctxnm;ContextName
Str_ptnm;PatternName
Str_cptnm;ConceptName
Str_expr;ASCIIString
Str_str;String
Str_clnm;ClassName
Str_relnm;RelationName
Str_file;FileName
Str_path;FilePath
Blob_atom;AtomValue
Blob_blob;Blob
Blob_error;ErrorMessage
Blob_sentence;PragmaSentence
Blob_mean;Meaning
Blob_purp;Purpose
Enum_prop;PropertySyntax
Enum_role;Role
ID_atom;Atom
ID_cpt;Concept
ID_ctx;Context
ID_decl;Relation
ID_expr;Expression
ID_gen;GeneralizationRule
ID_order;IsAClass
ID_pair;Relationship
ID_pat;Pattern
ID_rul_prop;Property
ID_rel;RelationToken
ID_rul;Rule
ID_sign;Sign
ID_adlversion;AdlVersion
ID_file_adl;AdlFile
ID_file;File
ID_perr;ParseError
ID_terr;TypeError
ID_datetime;CalendarTime
ID_user;User
ID_g;G
ID_file_adl_new;NewAdlFile
ID_file_pop_save;SavePopFile
ID_file_adl_save;SaveAdlFile
ID_info;MetaInformation
ID_img;Image
ID_url;URL
ID_pair_viol;Violation
