Int_int;Int
Str_rulnm;ADLid
Str_ctxnm;Conid
Str_ptnm;Conid
Str_cptnm;Conid
Str_expr;Expression
Str_str;String
Str_clnm;String
Str_relnm;Varid
Str_file;FileName
Str_path;FilePath
Blob_atom;Atom
Blob_blob;Blob
Blob_error;ErrorMessage
Blob_sentence;PragmaSentence
Blob_mean;Meaning
Blob_purp;Purpose
Enum_prop;Property
Enum_role;Role
ID_atom;AtomID
ID_cpt;Concept
ID_ctx;Context
ID_decl;Declaration
ID_expr;ExpressionID
ID_gen;Gen
ID_order;Order
ID_pair;PairID
ID_pat;Pattern
ID_rul_prop;PropertyRule
ID_rel;Relation
ID_rul;Rule
ID_sign;Sign
ID_adlversion;AdlVersion
ID_file_adl;AdlFile
ID_file;File
ID_perr;ParseError
ID_terr;TypeError
ID_datetime;CalendarTime
ID_user;User
ID_g;G
ID_file_adl_new;NewAdlFile
ID_file_pop_save;SavePopFile
ID_file_adl_save;SaveAdlFile
ID_info;MetaInformation
ID_img;Image
ID_url;URL
ID_pair_viol;Violation
