Business interface;Beschrijving;Relatietype;Relatie;Status;Bron
Rollijst;;;;in bewerking: naar business object;
Webportaal;Het presenteren van zaakgegevens en procesverloop via een webportaal.;;;;
Post;het verstrekken van informatie met betrekking tot het procesverloop via een door de klant gekozen communicatiewijze (telefoon).;;;;
Telefoon;het verstrekken van informatie met betrekking tot het procesverloop via een door de klant gekozen communicatiewijze (telefoon).;;;;
Ter zitting;Het in persoon en ter zitting behandelen van verzoeken en verwerken van informatie;;;;
Balie;Het in persoon ontvangen/verstrekken van informatie;;;;
Videoconference;voor digitale zittingen, verhoren et cetera;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
