product;naam;beschrijving;Relatietype;Relatie;Status;Bron
Product;ProductNaam;Tekst;;;;
1;Uitspraak op verzoekschrift;;;;;
2;Uitspraak op beroepschrift;Bestuursrecht;;;;
3;Uitspraak op veroordelingsverzoek proceskosten;;;;;
4;Uitspraak op verzoek schadevergoeding;;;;;
5;Uitspraak op verzet;De rechtbank kan in overduidelijke gevallen kiezen voor vereenvoudigde afdoening. Er wordt dan geen zitting gehouden. Tegen een dergelijke afdoening staat het rechtsmiddel verzet open. Als het verzet gegrond wordt verklaard, wordt de procedure voortgezet in de stand waarin deze zich bevond voor de vereenvoudigde afdoening. Tegen een ongegrondverklaring van het verzet staat geen hoger beroep open.;;;;
6;Uitspraak op dagvaarding;Civiel recht, strafrecht;;;;
7;Uitspraak op klaagschrift;Strafrecht;;;;
8;Uitspraak op gezamenlijk verzoek;Arbeidsrecht (geregelde ontbinding), familierecht (echtscheiding);;;;
9;Uitspraak op kort geding/VoVo;TO DO: combi dimensies zaakindeling;;;;
10;"LAMICIE productgroepen:
– civiel rechtbank
– straf rechtbank
– bestuur rechtbank
– kanton rechtbank
– vreemdelingen rechtbank
– belasting rechtbank
– Centrale Raad van Beroep
– civiel gerechtshof
– straf gerechtshof
– belasting gerechtshof
– College van Beroep voor het bedrijfsleven";"TODO: hebben de status van een Contract, want 
- geen herkenbare service aan de buitenwereld;
- van belang voor bekostiging, niet voor product zelf.";;;;
;;;;;;
20;Registerhandeling;TODO: hernoemen, zie grondplaat soll toepassingen;;;;
21;Onderzoekshandeling;TODO: hernoemen, zie grondplaat soll toepassingen;;;;
22;Toezichthandeling;TODO: hernoemen, zie grondplaat soll toepassingen;;;;
23;Voorlopig getuigen-/deskundigenverhoor/plaatsopneming;TODO: hernoemen, zie grondplaat soll toepassingen;;;;
;;"TO DO: aanbrengwijze naar gebeurtenissen; behandelwijze naar zaaksturing";;;;
;;TO DO: andere beslechtingswijzen dan 'uitspraak' als producten benoemen;;;;
