Voorschrift;
Voorschrift;Omschrijving
;De resultaten van de leerlingen aan het eind van de basisschool liggen ten minste op het niveau dat op grond van de kenmerken van de leerlingenpopulatie mag worden verwacht.
;De taalresultaten van de leerlingen aan het eind van de basisschool liggen ten minste op het niveau dat op grond van kenmerken van de leerlingen mag worden verwacht.
;De rekenresultaten van de leerlingen aan het eind van de basisschool liggen ten minste op het niveau dat op grond van kenmerken van de leerlingen mag worden verwacht.
;De resultaten van de leerlingen voor Nederlandse taal en voor rekenen en wiskunde tijdens de schoolperiode liggen ten minste op het niveau dat op grond van de kenmerken van de leerlingenpopulatie mag worden verwacht.
;De leerlingen doorlopen in beginsel de school binnen de verwachte periode van 8 jaar.
;Leerlingen met specifieke onderwijsbehoeften ontwikkelen zich naar hun mogelijkheden.
;De sociale competenties van de leerlingen liggen op een niveau dat mag worden verwacht.
;Bij de aangeboden leerinhouden voor Nederlandse taal en rekenen en wiskunde betrekt de school alle kerndoelen als te bereiken doelstellingen.
;Bij de aangeboden leerinhouden voor Nederlandse taal betrekt de school alle kerndoelen als te bereiken doelstellingen.
;Bij de aangeboden leerinhouden voor rekenen en wiskunde betrekt de school alle kerndoelen als te bereiken doelstellingen.
;De leerinhouden voor Nederlandse taal en voor rekenen en wiskunde worden aan voldoende leerlingen aangeboden tot en met het niveau van leerjaar 8.
;De leerinhouden voor Nederlandse taal worden aan voldoende leerlingen aangeboden tot en met het niveau van leerjaar 8.
;De leerinhouden voor rekenen en wiskunde worden aan voldoende leerlingen aangeboden tot en met het niveau van leerjaar 8.
;De leerinhouden in de verschillende leerjaren sluiten op elkaar aan.
;De school met een substantieel aantal leerlingen met een leerlinggewicht biedt bij Nederlandse taal leerinhouden aan die passen bij de onderwijsbehoeften van leerlingen met een taalachterstand.
;De school heeft een specifiek aanbod om sociale competenties te ontwikkelen.
;De school heeft een aanbod gericht op bevordering van actief burgerschap en sociale integratie, met inbegrip van het overdragen van kennis over en kennismaking met de diversiteit in de samenleving.
;De leraren maken effici‰nt gebruik van de geplande onderwijstijd.
;De ouders zijn betrokken bij de school door de activiteiten die de school daartoe onderneemt.
;De leerlingen voelen zich aantoonbaar veilig op school.
;Het personeel voelt zich aantoonbaar veilig op school.
;De school heeft inzicht in de veiligheidsbeleving van leerlingen en personeel en in de incidenten die zich op het gebied van sociale veiligheid op de school voordoen.
;De school heeft een veiligheidsbeleid gericht op het voorkomen van incidenten in en om de school.
;De school heeft een veiligheidsbeleid gericht op de afhandeling van incidenten in en om de school.
;Het personeel van de school zorgt ervoor dat de leerlingen op een respectvolle manier met elkaar en anderen omgaan.
;De leraren geven duidelijke uitleg van de leerstof.
;De leraren realiseren een taakgerichte werksfeer.
;De leerlingen zijn actief betrokken bij de onderwijsactiviteiten.
;De leraren stemmen de aangeboden leerinhouden af op verschillen in ontwikkeling tussen de leerlingen.
;De leraren stemmen de instructie af op verschillen in ontwikkeling tussen de leerlingen.
;De leraren stemmen de verwerkingsopdrachten af op verschillen in ontwikkeling tussen de leerlingen.
;De leraren stemmen de onderwijstijd af op verschillen in ontwikkeling tussen de leerlingen.
;De school gebruikt een samenhangend systeem van genormeerde instrumenten en procedures voor het volgen van de prestaties en de ontwikkeling van de leerlingen.
;De leraren volgen en analyseren systematisch de voortgang in de ontwikkeling van de leerlingen.
;De school stelt bij plaatsing voor iedere leerling een ontwikkelingsperspectief vast.
;De school volgt of de leerlingen zich ontwikkelen conform het ontwikkelingsperspectief en maakt naar aanleiding hiervan beredeneerde keuzes.
;De school signaleert vroegtijdig welke leerlingen zorg nodig hebben.
;Op basis van een analyse van de verzamelde gegevens bepaalt de school de aard van de zorg voor de zorgleerlingen.
;De school voert de zorg planmatig uit.
;De school evalueert regelmatig de effecten van de zorg.
;De school zoekt de structurele samenwerking met ketenpartners waar noodzakelijke interventies op leerlingniveau haar eigen kerntaak overschrijden.
;De school heeft inzicht in de onderwijsbehoeften van haar leerlingenpopulatie.
;De school evalueert jaarlijks de resultaten van de leerlingen.
;De school evalueert regelmatig het onderwijsleerproces.
;De school werkt planmatig aan verbeteractiviteiten.
;De school borgt de kwaliteit van het onderwijsleerproces.
;De school verantwoordt zich aan belanghebbenden over de gerealiseerde onderwijskwaliteit.
;De school draagt zorg voor de kwaliteit van het onderwijs gericht op bevordering van actief burgerschap en sociale integratie, met inbegrip van het overdragen van kennis over en kennismaking met de diversiteit van de samenleving.
;De inspectie is in het bezit gesteld van de geldende schoolgids (art. 16, lid 2 en 3, WPO).
;In de schoolgids is informatie opgenomen over standaard gecontroleerde onderdelen (art. 13 WPO).
;De inspectie is in het bezit gesteld van het geldende schoolplan (art. 16, lid 1 en 3, WPO).
;In het schoolplan is informatie opgenomen over een of meer standaard gecontroleerde onderdelen (art. 12 WPO).
;De inspectie is in het bezit gesteld van het geldende zorgplan (art. 19, lid 3, WPO).
;In het zorgplan is informatie opgenomen over een of meer standaard gecontroleerde onderdelen (art. 19, lid 2, WPO).
;Er is voldoende onderwijstijd geprogrammeerd om te kunnen voldoen aan de daarvoor gestelde minima (art. 8, lid 7 onder b, WPO).
;Er is maximaal zevenmaal een onvolledige schoolweek geprogrammeerd voor de groepen 3 t/m 8 (artikel 8, lid 7 onderÿb, WPO).
;
